datetime,open,high,low,close,volume,dma_20,dma_50,dma_100,dma_200,distance_dma_20_pct,distance_dma_50_pct,distance_dma_100_pct,distance_dma_200_pct,return_1d_pct,return_5d_pct,return_10d_pct,return_20d_pct,rsi_14,rsi_21,historical_volatility_20d,historical_volatility_50d,atr_14,atr_14_pct,high_20d,low_20d,high_52w,low_52w,distance_52w_high_pct,distance_52w_low_pct
2021-01-04,6016.15,6091.7,5974.1,6086.25,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,6051.05,6151.35,6020.2,6141.4,0,,,,,,,,,0.9061408913534574,,,,,,,,,,,,,,,
2021-01-06,6165.1,6233.15,6098.15,6191.7,0,,,,,,,,,0.8190314911909358,,,,,,,,,,,,,,,
2021-01-07,6252.25,6357.5,6245.0,6320.7,0,,,,,,,,,2.083434274916418,,,,,,,,,,,,,,,
2021-01-08,6384.15,6410.0,6351.25,6389.7,0,,,,,,,,,1.0916512411599966,,,,,,,,,,,,,,,
2021-01-11,6420.0,6428.35,6302.3,6359.75,0,,,,,,,,,-0.4687231012410531,4.493735880057503,,,,,,,,,,,,,,
2021-01-12,6347.05,6460.1,6322.65,6427.7,0,,,,,,,,,1.068438224772983,4.661803497573835,,,,,,,,,,,,,,
2021-01-13,6472.35,6504.75,6275.3,6385.15,0,,,,,,,,,-0.6619786237689995,3.124343879709923,,,,,,,,,,,,,,
2021-01-14,6398.8,6424.55,6345.75,6390.9,0,,,,,,,,,0.09005270040640667,1.1106364801366952,,,,,,,,,,,,,,
2021-01-15,6404.2,6438.0,6252.45,6328.3,0,,,,,,,,,-0.9795177518033382,-0.9609214830117119,,,,,,,,,,,,,,
2021-01-18,6330.15,6331.6,6106.55,6164.4,0,,,,,,,,,-2.5899530679645455,-3.0716616219191084,1.2840418977202672,,,,,,,,,,,,,
2021-01-19,6209.05,6361.85,6207.7,6347.3,0,,,,,,,,,2.967036532347045,-1.2508362244659788,3.352655746246791,,,,,,,,,,,,,
2021-01-20,6367.15,6444.1,6352.15,6437.15,0,,,,,,,,,1.4155625226474067,0.8143896384579907,3.9641778509940773,,,,,,,,,,,,,
2021-01-21,6486.4,6512.6,6291.5,6331.75,0,,,,,,,,,-1.6373705754875956,-0.9255347447151396,0.17482240891040224,,61.64279616807361,,,,152.6107142857145,2.410245418497485,,,,,,
2021-01-22,6346.55,6399.9,6209.2,6244.0,0,,,,,,,,,-1.3858727839854645,-1.3321113095144055,-2.2802322487753712,,56.906440173372445,,,,157.83214285714308,2.527740916994604,,,,,,
2021-01-25,6326.1,6352.2,6120.45,6183.6,0,,,,,,,,,-0.9673286354900612,0.3114658360911182,-2.7697629623805953,,51.839100496818645,,,,165.01785714285734,2.668637317143045,,,,,,
2021-01-27,6180.2,6181.15,6055.1,6069.15,0,,,,,,,,,-1.8508635746167346,-4.382178249019275,-5.578200600525851,,44.942011638945054,,,,164.55357142857162,2.7113116569630282,,,,,,
2021-01-28,5971.5,6096.95,5968.85,6046.3,0,,,,,,,,,-0.3764942372490254,-6.071786427223225,-5.306844788297838,,37.587080430652314,,,,161.86071428571444,2.677020893533474,,,,,,
2021-01-29,6119.9,6160.75,5977.5,6002.65,0,,,,,,,,,-0.7219291136728367,-5.197615193272009,-6.07504420347682,,32.08018889763413,,,,168.5714285714287,2.808283484318238,,,,,,
2021-02-01,6041.55,6293.75,5946.5,6279.45,0,6256.365,,,,0.3689842264637699,,,,4.611296677300869,0.5677450352338242,-0.7719292701041436,,46.973922218872474,,,,184.37142857142868,2.936107916639653,6512.6,5946.5,,,,
2021-02-02,6349.45,6489.15,6345.6,6468.7,0,6275.4875,,,,3.0788444722421904,,,,3.0137989792099695,4.610582832007237,4.93640905846473,6.283836516738539,51.41564809060148,60.33956040985157,29.410014496336295,,189.5321428571429,2.9299881406950843,6512.6,5946.5,,,,
2021-02-03,6518.35,6642.9,6457.1,6584.6,0,6297.6475,,,,4.5565030433983535,,,,1.791704670181038,8.492952060832248,3.738597513903552,7.216595564529271,56.55460251733546,62.67840333782787,29.80885823049011,,186.41428571428574,2.8310646920737135,6642.9,5946.5,,,,
