datetime,open,high,low,close,volume,dma_20,dma_50,dma_100,dma_200,distance_dma_20_pct,distance_dma_50_pct,distance_dma_100_pct,distance_dma_200_pct,return_1d_pct,return_5d_pct,return_10d_pct,return_20d_pct,rsi_14,rsi_21,historical_volatility_20d,historical_volatility_50d,atr_14,atr_14_pct,high_20d,low_20d,high_52w,low_52w,distance_52w_high_pct,distance_52w_low_pct
2021-01-04,19.56,21.03,19.34,20.03,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,20.03,21.01,20.03,20.46,0,,,,,,,,,2.1467798302546193,,,,,,,,,,,,,,,
2021-01-06,20.46,21.63,20.43,21.0,0,,,,,,,,,2.639296187683282,,,,,,,,,,,,,,,
2021-01-07,21.0,21.0,20.14,20.62,0,,,,,,,,,-1.8095238095238053,,,,,,,,,,,,,,,
2021-01-08,20.62,20.85,17.38,20.64,0,,,,,,,,,0.09699321047527132,,,,,,,,,,,,,,,
2021-01-11,20.64,22.75,20.64,22.38,0,,,,,,,,,8.430232558139528,11.732401397903125,,,,,,,,,,,,,,
2021-01-12,22.38,23.26,22.29,22.85,0,,,,,,,,,2.10008936550492,11.68132942326492,,,,,,,,,,,,,,
2021-01-13,22.85,24.05,22.37,23.29,0,,,,,,,,,1.9256017505470346,10.904761904761905,,,,,,,,,,,,,,
2021-01-14,23.29,23.7,22.81,23.03,0,,,,,,,,,-1.1163589523400463,11.687681862269649,,,,,,,,,,,,,,
2021-01-15,23.03,24.68,23.03,24.01,0,,,,,,,,,4.255319148936176,16.327519379844958,,,,,,,,,,,,,,
2021-01-18,24.01,25.41,23.57,24.4,0,,,,,,,,,1.6243231986672102,9.025915996425372,21.81727408886669,,,,,,,,,,,,,
2021-01-19,24.4,24.4,20.36,22.9,0,,,,,,,,,-6.147540983606559,0.2188183807439792,11.925708699902238,,,,,,,,,,,,,
2021-01-20,22.9,23.19,19.33,21.55,0,,,,,,,,,-5.895196506550205,-7.471017604121933,2.619047619047632,,,,,,,,,,,,,
2021-01-21,21.55,22.78,18.62,22.18,0,,,,,,,,,2.9234338747099686,-3.690838037342603,7.565470417070808,,61.774370208105154,,,,2.1000000000000005,9.46798917944094,,,,,,
2021-01-22,22.18,23.04,18.73,22.42,0,,,,,,,,,1.082055906221835,-6.6222407330279065,8.624031007751952,,62.75346851654217,,,,2.2871428571428574,10.201350834713905,,,,,,
2021-01-25,22.42,23.81,20.34,23.25,0,,,,,,,,,3.702051739518275,-4.713114754098358,3.887399463806984,,64.27840327533266,,,,2.4650000000000003,10.60215053763441,,,,,,
2021-01-27,23.25,24.75,20.83,24.39,0,,,,,,,,,4.9032258064516165,6.506550218340612,6.739606126914666,,66.34522661523627,,,,2.6592857142857147,10.903180460376035,,,,,,
2021-01-28,24.39,25.3,23.44,24.29,0,,,,,,,,,-0.41000410004100596,12.714617169373543,4.293688278231,,68.18632309217047,,,,2.730714285714286,11.242133741104512,,,,,,
2021-01-29,24.29,25.99,22.08,25.34,0,,,,,,,,,4.3227665706051965,14.247069431920645,10.030395136778104,,71.13309352517986,,,,2.7621428571428575,10.90032698162138,,,,,,
2021-02-01,25.34,25.93,22.6,23.32,0,22.6175,,,,3.106001989609818,,,,-7.971586424625099,4.014272970561983,-2.873802582257401,,54.12280701754386,,,,2.849285714285714,12.218206321979906,25.99,17.38,,,,
2021-02-02,23.32,23.61,21.0,23.35,0,22.7835,,,,2.4864485263458262,,,,0.12864493996569415,0.43010752688172893,-4.303278688524581,16.575137294058905,52.28102189781022,61.41678129298488,63.51186847220398,,2.9664285714285716,12.704190884062406,25.99,17.38,,,,
2021-02-03,23.35,24.2,20.95,23.75,0,22.948,,,,3.4948579396897315,,,,1.7130620985010614,-2.6240262402624004,3.7117903930131035,16.080156402737032,52.10622710622711,62.44979919678715,63.412682882657414,,3.0785714285714283,12.962406015037592,25.99,17.38,,,,
2021-02-04,23.75,23.93,22.09,23.12,0,23.054,,,,0.2862843758133188,,,,-2.652631578947362,-4.816797035817199,7.285382830626452,10.095238095238091,50.398582816651896,58.784676354029074,64.18193458818554,,3.1464285714285714,13.60912011863569,25.99,17.38,,,,
2021-02-05,23.12,23.94,20.08,23.42,0,23.194,,,,0.9743899284297778,,,,1.2975778546712835,-7.576953433307021,5.590622182146077,13.579049466537342,47.2196041470311,58.12080536912753,63.605390151875966,,3.3042857142857147,14.108820300109798,25.99,17.38,,,,
2021-02-08,23.42,24.35,22.18,23.96,0,23.36,,,,2.5684931506849376,,,,2.305721605465405,2.7444253859348233,6.868867082961638,16.085271317829463,47.9553903345725,61.08897742363878,63.80337394692073,,3.3278571428571433,13.889220128786073,25.99,18.62,,,,
2021-02-09,23.96,24.47,21.43,24.27,0,23.454500000000003,,,,3.476944722761076,,,,1.2938230383973126,3.940042826552448,4.387096774193555,8.445040214477206,57.15778474399165,61.82410423452768,57.2107829448306,,3.2564285714285717,13.417505444699513,25.99,18.62,,,,
2021-02-10,24.27,24.96,20.91,23.95,0,23.5095,,,,1.8737106276186226,,,,-1.3185002060156603,0.8421052631578885,-1.8040180401804107,4.814004376367609,64.05152224824354,55.63531945441494,57.20520293949358,,3.27,13.653444676409185,25.99,18.62,,,,
2021-02-11,23.95,24.22,21.02,23.05,0,23.497500000000002,,,,-1.9044579210554378,,,,-3.757828810020869,-0.3027681660899617,-5.104981473857551,-1.0304851867754317,54.93757094211124,50.69637883008355,58.60117996439113,,3.2014285714285715,13.889061047412458,25.99,18.62,,,,
2021-02-15,22.04,22.39,20.82,21.48,0,23.419999999999998,,,,-8.283518360375739,,,,-6.811279826464212,-8.283518360375751,-15.23283346487766,-6.730351715154148,45.364891518737664,44.15752098127824,63.35233890436953,,3.0528571428571434,14.212556530992288,25.99,18.62,,,,
2021-02-16,21.48,22.12,20.54,21.78,0,23.308500000000002,,,,-6.557693545273188,,,,1.3966480446927498,-9.098497495826374,-6.6037735849056585,-9.287796751353605,42.35171696149845,45.97553122987765,61.42705765391865,,2.9178571428571436,13.396956578774763,25.99,18.62,,,,
2021-02-17,21.78,21.88,21.1,21.51,0,23.164,,,,-7.140390260749438,,,,-1.2396694214875992,-11.37206427688503,-7.8800856531049295,-11.844262295081954,33.524027459954226,41.565452091767874,61.0066703272058,,2.693571428571429,12.522414823670056,25.99,18.62,,,,
2021-02-18,21.51,22.09,19.96,21.54,0,23.096,,,,-6.737097332871497,,,,0.1394700139469851,-10.062630480167012,-9.30526315789474,-5.938864628820961,34.140715109573236,40.110650069156286,57.336433129453546,,2.712857142857143,12.594508555511341,25.99,18.62,,,,
2021-02-19,21.54,22.87,19.35,22.25,0,23.131,,,,-3.8087415157148428,,,,3.2961931290622193,-3.470715835141003,-3.7629757785467177,3.248259860788849,31.452581032412965,47.622531089978054,54.5317214343196,,2.685,12.067415730337078,25.99,18.62,,,,
2021-02-22,22.25,25.82,20.02,25.47,0,23.2955,,,,9.334420810886215,,,,14.471910112359554,18.575418994413397,8.753202391118698,14.833183047790799,61.28016789087093,62.612612612612615,74.04845044893351,,2.8614285714285717,11.234505580795334,25.99,18.73,,,,
2021-02-23,25.47,25.64,23.86,25.23,0,23.436,,,,7.654889912954431,,,,-0.9422850412249661,15.840220385674918,5.300500834724531,12.533452274754687,59.65092402464066,60.066006600660074,74.29246549241003,,2.8021428571428575,11.106392616499633,25.99,19.35,,,,
2021-02-24,25.23,25.23,23.48,24.17,0,23.482000000000003,,,,2.9299037560684726,,,,-4.201347602061034,12.366341236634115,-0.4120313143798793,3.956989247311826,52.019230769230774,55.47902316844083,75.33689705007242,,2.6950000000000003,11.150186181216384,25.99,19.35,,,,
2021-02-25,24.17,24.17,22.63,22.89,0,23.407,,,,-2.2087409749220295,,,,-5.2958212660322745,6.2674094707521055,-4.425887265135698,-6.150061500615001,48.959276018099544,48.90377588306943,75.76574263011041,,2.673571428571429,11.680084877987893,25.99,19.35,,,,
2021-02-26,22.89,29.65,22.89,28.14,0,23.5995,,,,19.239814402847525,,,,22.935779816513758,26.47191011235954,22.08242950108459,15.850144092219033,64.75,59.13297613248905,111.73629920459922,,2.880714285714286,10.237079906589502,29.65,19.35,,,,
2021-03-01,28.14,28.14,24.95,25.63,0,23.613999999999997,,,,8.537308376386896,,,,-8.919687277896237,0.6281900274833108,19.320297951582855,1.1444356748224083,54.64663327768503,52.920662598081954,116.24004871739488,,2.9535714285714287,11.523883841480409,29.65,19.35,,,,
2021-03-02,25.63,25.63,23.21,23.61,0,23.6285,,,,-0.07829527900628273,,,,-7.881388997268823,-6.4209274673008405,8.402203856749303,1.2435677530017175,48.323170731707314,46.382266833960685,116.15539832256268,,2.9092857142857147,12.322260543353302,29.65,19.35,,,,
2021-03-03,23.61,23.61,21.82,22.09,0,23.5655,,,,-6.26127177441599,,,,-6.437950021177463,-8.605709557302443,2.696420269642008,-5.39614561027838,45.54597701149426,47.37291755659974,118.5954308719673,,2.7478571428571428,12.439371402703227,29.65,19.35,,,,
2021-03-04,22.09,24.58,22.09,24.15,0,23.585500000000003,,,,2.393419685823897,,,,9.325486645540959,5.504587155963292,12.116991643454034,1.684210526315777,52.495462794918325,51.57232704402515,123.07352414690777,,2.697142857142857,11.16829340431825,29.65,19.35,,,,
2021-03-05,24.15,26.41,22.86,25.56,0,23.707500000000003,,,,7.813982916798462,,,,5.838509316770191,-9.168443496801714,14.876404494382012,10.553633217993074,59.3235831809872,53.421550094517954,124.01285981351818,,2.7914285714285714,10.921082047842612,29.65,19.35,,,,
2021-03-08,25.56,25.65,21.2,24.68,0,23.770500000000002,,,,3.8261710944237506,,,,-3.4428794992175216,-3.7065938353491923,-3.101688260698854,5.380017079419286,56.45592163846839,52.92134831460674,124.88632469792498,,2.996428571428571,12.14112062977541,29.65,19.35,,,,
2021-03-09,24.68,24.68,21.44,22.5,0,23.6975,,,,-5.053275661989668,,,,-8.833063209076176,-4.701397712833543,-10.820451843044,-6.093489148580966,52.03118588428395,48.39048285514345,128.98651989138435,,3.1721428571428567,14.098412698412696,29.65,19.35,,,,
2021-03-10,22.5,22.5,19.32,20.75,0,23.5215,,,,-11.782836978934165,,,,-7.777777777777772,-6.0660932548664555,-14.149772445179988,-14.50350226617223,48.486009965504024,44.61228600201409,131.75153357677652,,3.247142857142857,15.648881239242684,29.65,19.32,,,,
2021-03-12,20.75,22.67,18.54,21.71,0,23.4095,,,,-7.259873128430767,,,,4.6265060240963995,-10.103519668737048,-5.155089558759284,-9.352818371607508,48.97494305239181,45.79500657030223,132.93012973277663,,3.2907142857142864,15.157596894123843,29.65,18.54,,,,
2021-03-15,21.71,22.93,21.0,21.23,0,23.3185,,,,-8.956408002229988,,,,-2.210962690004603,-16.940532081377146,-24.555792466240224,-7.895878524945776,41.016949152542374,45.55555555555556,132.4899132155923,,3.0142857142857147,14.198236996164459,29.65,18.54,,,,
2021-03-16,21.23,21.23,18.06,20.19,0,23.254,,,,-13.17622774576417,,,,-4.898728214790382,-18.19286871961101,-21.22512680452594,-6.005586592178769,39.67213114754098,45.348080676642816,131.37385866196607,,3.113571428571429,15.42135427722352,29.65,18.06,,,,
2021-03-17,20.19,20.42,18.62,20.16,0,23.173,22.9588,,,-13.002200837181196,-12.190532606233775,,,-0.14858841010402246,-10.399999999999999,-14.612452350698856,-7.438016528925628,41.420624732563105,47.73972602739726,131.2700423262236,,3.117142857142857,15.462018140589567,29.65,18.06,,,,
2021-03-18,20.16,20.95,16.68,20.08,0,23.101499999999998,22.9598,,,-13.07923727896457,-12.542792184600923,,,-0.3968253968254065,-3.228915662650611,-9.099139882299689,-6.648070664807082,43.66260712674786,47.06694271911663,131.20534810289166,93.48704336952703,3.3121428571428564,16.494735344336934,29.65,16.68,,,,
2021-03-19,20.08,21.87,18.73,19.99,0,23.023999999999997,22.9504,,,-13.177553856845028,-12.899121583937537,,,-0.44820717131474064,-7.92261630584985,-17.225672877846787,-7.195914577530182,26.043503821281604,47.3611111111111,131.21140767514154,93.38603966214116,3.0535714285714284,15.275494890302294,29.65,16.68,,,,
2021-03-22,19.99,21.23,18.97,20.49,0,22.936,22.9402,,,-10.664457621206843,-10.68081359360425,,,2.5012506253126565,-3.4856335374470193,-19.83568075117371,-7.91011235955057,32.86666666666666,48.20635462931329,130.9712769086459,93.36737056277413,2.987142857142857,14.57854005438193,29.65,16.68,,,,
2021-03-23,20.49,22.14,20.49,20.67,0,22.696,22.941200000000002,,,-8.926683115967569,-9.900092410161632,,,0.8784773060029449,2.3774145616641817,-16.2479740680713,-18.8457008244994,38.82978723404256,47.25121781489214,119.26807972274021,93.27762890100617,2.932142857142858,14.185500034556641,29.65,16.68,,,,
2021-03-24,20.67,22.69,19.75,22.46,0,22.557499999999997,22.977600000000002,,,-0.43222874875317124,-2.252628647030158,,,8.659893565553944,11.408730158730162,-0.1777777777777767,-10.97899326198969,51.37751303052867,44.489198095935556,123.88273303382734,95.20548029625124,3.0142857142857147,13.420684391298817,29.65,16.68,,,,
2021-03-25,22.46,23.31,21.12,22.7,0,22.483999999999998,22.983999999999995,,,0.9606831524639793,-1.2356421858684103,,,1.0685663401602818,13.04780876494025,9.397590361445785,-6.081919735208952,43.75538329026701,45.367997070670086,123.09497856599232,93.40509253888051,2.9928571428571433,13.184392699811204,29.65,16.68,,,,
2021-03-26,22.7,22.92,18.23,20.65,0,22.372,22.94,,,-7.697121401752197,-9.98256320836967,,,-9.03083700440529,3.3016508254127164,-4.882542607093521,-9.785932721712543,29.959183673469397,43.78091872791519,125.89118515712934,95.5531664402256,3.0742857142857147,14.887582151504672,29.65,16.68,,,,
2021-03-31,20.49,20.83,20.0,20.65,0,21.9975,22.887200000000004,,,-6.125696101829754,-9.774896011744575,,,0.0,0.7808687164470474,-2.7319830428638836,-26.61691542288558,32.27792436235708,45.854922279792746,91.55845203389555,95.44807300776951,2.815714285714286,13.63542026980284,28.14,16.68,,,,
2021-04-01,20.65,20.68,19.73,19.99,0,21.7155,22.826400000000003,,,-7.945937233773114,-12.42596292012759,,,-3.1961259079903104,-3.28979196903727,-0.9905894006934313,-22.00546234880999,37.25888324873097,31.83236736513598,87.46689366864173,95.67925590136036,2.652142857142858,13.26734795969414,26.41,16.68,,,,
2021-04-05,19.99,23.31,19.99,21.22,0,21.595999999999997,22.770599999999998,,,-1.741063159844405,-6.809658067859431,,,6.153076538269131,-5.520926090828149,5.2579365079365115,-10.122829309614579,52.518756698820994,39.57446808510638,87.20092864155494,96.21804028151004,2.6621428571428574,12.545442305103006,26.41,16.68,,,,
